pokemon,version,method,location_area,min_level,max_level,chance,conditions
shuppet,emerald,walk,Mt Pyre 1f,29,29,4,
shuppet,emerald,walk,Mt Pyre 1f,24,24,4,
shuppet,emerald,walk,Mt Pyre 1f,29,29,1,
shuppet,emerald,walk,Mt Pyre 1f,24,24,1,
shuppet,emerald,walk,Mt Pyre 2f,27,27,20,
shuppet,emerald,walk,Mt Pyre 2f,28,28,20,
shuppet,emerald,walk,Mt Pyre 2f,26,26,10,
shuppet,emerald,walk,Mt Pyre 2f,25,25,10,
shuppet,emerald,walk,Mt Pyre 2f,29,29,10,
shuppet,emerald,walk,Mt Pyre 2f,24,24,10,
shuppet,emerald,walk,Mt Pyre 2f,23,23,5,
shuppet,emerald,walk,Mt Pyre 2f,22,22,5,
shuppet,emerald,walk,Mt Pyre 2f,29,29,4,
shuppet,emerald,walk,Mt Pyre 2f,24,24,4,
shuppet,emerald,walk,Mt Pyre 2f,29,29,1,
shuppet,emerald,walk,Mt Pyre 2f,24,24,1,
shuppet,emerald,walk,Mt Pyre 3f,27,27,20,
shuppet,emerald,walk,Mt Pyre 3f,28,28,20,
shuppet,emerald,walk,Mt Pyre 3f,26,26,10,
shuppet,emerald,walk,Mt Pyre 3f,25,25,10,
shuppet,emerald,walk,Mt Pyre 3f,29,29,10,
shuppet,emerald,walk,Mt Pyre 3f,24,24,10,
shuppet,emerald,walk,Mt Pyre 3f,23,23,5,
shuppet,emerald,walk,Mt Pyre 3f,22,22,5,
shuppet,emerald,walk,Mt Pyre 3f,29,29,4,
shuppet,emerald,walk,Mt Pyre 3f,24,24,4,
shuppet,emerald,walk,Mt Pyre 3f,29,29,1,
shuppet,emerald,walk,Mt Pyre 3f,24,24,1,
shuppet,emerald,walk,Mt Pyre 4f,27,27,20,
shuppet,emerald,walk,Mt Pyre 4f,28,28,20,
shuppet,emerald,walk,Mt Pyre 4f,26,26,10,
shuppet,emerald,walk,Mt Pyre 4f,25,25,10,
shuppet,emerald,walk,Mt Pyre 4f,29,29,10,
shuppet,emerald,walk,Mt Pyre 4f,24,24,10,
shuppet,emerald,walk,Mt Pyre 4f,23,23,5,
shuppet,emerald,walk,Mt Pyre 4f,22,22,5,
shuppet,emerald,walk,Mt Pyre 5f,27,27,20,
shuppet,emerald,walk,Mt Pyre 5f,28,28,20,
shuppet,emerald,walk,Mt Pyre 5f,26,26,10,
shuppet,emerald,walk,Mt Pyre 5f,25,25,10,
shuppet,emerald,walk,Mt Pyre 5f,29,29,10,
shuppet,emerald,walk,Mt Pyre 5f,24,24,10,
shuppet,emerald,walk,Mt Pyre 5f,23,23,5,
shuppet,emerald,walk,Mt Pyre 5f,22,22,5,
shuppet,emerald,walk,Mt Pyre 6f,27,27,20,
shuppet,emerald,walk,Mt Pyre 6f,28,28,20,
shuppet,emerald,walk,Mt Pyre 6f,26,26,10,
shuppet,emerald,walk,Mt Pyre 6f,25,25,10,
shuppet,emerald,walk,Mt Pyre 6f,29,29,10,
shuppet,emerald,walk,Mt Pyre 6f,24,24,10,
shuppet,emerald,walk,Mt Pyre 6f,23,23,5,
shuppet,emerald,walk,Mt Pyre 6f,22,22,5,
shuppet,emerald,walk,Mt Pyre Outside,27,27,20,
shuppet,emerald,walk,Mt Pyre Outside,28,28,10,
shuppet,emerald,walk,Mt Pyre Outside,29,29,10,
shuppet,emerald,walk,Mt Pyre Summit,28,28,20,
shuppet,emerald,walk,Mt Pyre Summit,29,29,20,
shuppet,emerald,walk,Mt Pyre Summit,27,27,10,
shuppet,emerald,walk,Mt Pyre Summit,26,26,10,
shuppet,emerald,walk,Mt Pyre Summit,30,30,10,
shuppet,emerald,walk,Mt Pyre Summit,25,25,10,
shuppet,emerald,walk,Mt Pyre Summit,24,24,5,
shuppet,emerald,walk,Hoenn Route 121,26,26,20,
shuppet,emerald,walk,Hoenn Route 121,28,28,10,
shuppet,emerald,walk,Hoenn Route 123,26,26,20,
shuppet,emerald,walk,Hoenn Route 123,28,28,10,
duskull,emerald,walk,Mt Pyre 4f,27,27,4,
duskull,emerald,walk,Mt Pyre 4f,25,25,1,
duskull,emerald,walk,Mt Pyre 4f,29,29,1,
duskull,emerald,walk,Mt Pyre 5f,27,27,4,
duskull,emerald,walk,Mt Pyre 5f,25,25,1,
duskull,emerald,walk,Mt Pyre 5f,29,29,1,
duskull,emerald,walk,Mt Pyre 6f,27,27,4,
duskull,emerald,walk,Mt Pyre 6f,25,25,1,
duskull,emerald,walk,Mt Pyre 6f,29,29,1,
duskull,emerald,walk,Mt Pyre Summit,28,28,5,
duskull,emerald,walk,Mt Pyre Summit,26,26,4,
duskull,emerald,walk,Mt Pyre Summit,30,30,4,
tropius,emerald,walk,Hoenn Route 119,25,25,4,
tropius,emerald,walk,Hoenn Route 119,26,26,4,
tropius,emerald,walk,Hoenn Route 119,27,27,1,
absol,emerald,walk,Hoenn Route 120,25,25,4,
absol,emerald,walk,Hoenn Route 120,27,27,4,
wynaut,emerald,walk,Hoenn Route 130,30,30,20,
wynaut,emerald,walk,Hoenn Route 130,35,35,20,
wynaut,emerald,walk,Hoenn Route 130,25,25,10,
wynaut,emerald,walk,Hoenn Route 130,40,40,10,
wynaut,emerald,walk,Hoenn Route 130,20,20,10,
wynaut,emerald,walk,Hoenn Route 130,45,45,10,
wynaut,emerald,walk,Hoenn Route 130,15,15,5,
wynaut,emerald,walk,Hoenn Route 130,50,50,5,
wynaut,emerald,walk,Hoenn Route 130,10,10,4,
wynaut,emerald,walk,Hoenn Route 130,5,5,4,
wynaut,emerald,walk,Hoenn Route 130,10,10,1,
wynaut,emerald,walk,Hoenn Route 130,5,5,1,
snorunt,emerald,walk,Shoal Cave B1f,26,26,5,
snorunt,emerald,walk,Shoal Cave B1f,28,28,4,
snorunt,emerald,walk,Shoal Cave B1f,30,30,1,
spheal,emerald,walk,Shoal Cave,26,26,20,
spheal,emerald,walk,Shoal Cave,28,28,10,
spheal,emerald,walk,Shoal Cave,30,30,10,
spheal,emerald,walk,Shoal Cave,32,32,5,
spheal,emerald,walk,Shoal Cave,32,32,4,
spheal,emerald,walk,Shoal Cave,32,32,1,
spheal,emerald,walk,Shoal Cave B1f,26,26,20,
spheal,emerald,walk,Shoal Cave B1f,28,28,10,
spheal,emerald,walk,Shoal Cave B1f,30,30,10,
spheal,emerald,walk,Shoal Cave B1f,32,32,5,
bagon,emerald,walk,Meteor Falls Backsmall Room,30,30,10,
bagon,emerald,walk,Meteor Falls Backsmall Room,35,35,10,
bagon,emerald,walk,Meteor Falls Backsmall Room,25,25,5,
lairon,emerald,walk,Hoenn Victory Road 1f,40,40,10,
lairon,emerald,walk,Hoenn Victory Road B1f,40,40,10,
lairon,emerald,walk,Hoenn Victory Road B1f,42,42,4,
lairon,emerald,walk,Hoenn Victory Road B1f,42,42,1,
lairon,emerald,walk,Hoenn Victory Road B2f,40,40,10,
lairon,emerald,walk,Hoenn Victory Road B2f,42,42,4,
lairon,emerald,walk,Hoenn Victory Road B2f,44,44,1,
manectric,emerald,walk,Hoenn Route 118,26,26,10,
altaria,emerald,walk,Sky Pillar 5f,38,38,4,
altaria,emerald,walk,Sky Pillar 5f,39,39,1,
claydol,emerald,walk,Sky Pillar 1f,36,36,10,
claydol,emerald,walk,Sky Pillar 1f,36,36,5,
claydol,emerald,walk,Sky Pillar 1f,37,37,4,
claydol,emerald,walk,Sky Pillar 1f,38,38,4,
claydol,emerald,walk,Sky Pillar 1f,37,37,1,
claydol,emerald,walk,Sky Pillar 1f,38,38,1,
claydol,emerald,walk,Sky Pillar 3f,36,36,10,
claydol,emerald,walk,Sky Pillar 3f,36,36,5,
claydol,emerald,walk,Sky Pillar 3f,37,37,4,
claydol,emerald,walk,Sky Pillar 3f,38,38,4,
claydol,emerald,walk,Sky Pillar 3f,37,37,1,
claydol,emerald,walk,Sky Pillar 3f,38,38,1,
claydol,emerald,walk,Sky Pillar 5f,36,36,10,
claydol,emerald,walk,Sky Pillar 5f,36,36,5,
claydol,emerald,walk,Sky Pillar 5f,37,37,4,
banette,emerald,walk,Sky Pillar 1f,37,37,10,
banette,emerald,walk,Sky Pillar 1f,38,38,5,
banette,emerald,walk,Sky Pillar 3f,37,37,10,
banette,emerald,walk,Sky Pillar 3f,38,38,5,
banette,emerald,walk,Sky Pillar 5f,37,37,10,
banette,emerald,walk,Sky Pillar 5f,38,38,5,
chimecho,emerald,walk,Mt Pyre Summit,28,28,1,
