pokemon,version,method,location_area,min_level,max_level,chance,conditions
feebas,emerald,walk,Cave Of Origin 1f,,,0,
flygon,emerald,walk,Cave Of Origin 1f,,,0,
gardevoir,emerald,walk,Cave Of Origin 1f,,,0,
glalie,emerald,walk,Cave Of Origin 1f,,,0,
gorebyss,emerald,walk,Cave Of Origin 1f,,,0,
groudon,emerald,walk,Cave Of Origin 1f,,,0,
grovyle,emerald,walk,Cave Of Origin 1f,,,0,
grumpig,emerald,walk,Cave Of Origin 1f,,,0,
gulpin,emerald,walk,Cave Of Origin 1f,,,0,
hariyama,emerald,walk,Cave Of Origin 1f,,,0,
huntail,emerald,walk,Cave Of Origin 1f,,,0,
illumise,emerald,walk,Cave Of Origin 1f,,,0,
jirachi,emerald,walk,Cave Of Origin 1f,,,0,
kecleon,emerald,walk,Cave Of Origin 1f,,,0,
kirlia,emerald,walk,Cave Of Origin 1f,,,0,
kyogre,emerald,walk,Cave Of Origin 1f,,,0,
lairon,emerald,walk,Cave Of Origin 1f,,,0,
latias,emerald,walk,Cave Of Origin 1f,,,0,
latios,emerald,walk,Cave Of Origin 1f,,,0,
lileep,emerald,walk,Cave Of Origin 1f,,,0,
linoone,emerald,walk,Cave Of Origin 1f,,,0,
lombre,emerald,walk,Cave Of Origin 1f,,,0,
lotad,emerald,walk,Cave Of Origin 1f,,,0,
loudred,emerald,walk,Cave Of Origin 1f,,,0,
ludicolo,emerald,walk,Cave Of Origin 1f,,,0,
lunatone,emerald,walk,Cave Of Origin 1f,,,0,
luvdisc,emerald,walk,Cave Of Origin 1f,,,0,
makuhita,emerald,walk,Cave Of Origin 1f,,,0,
manectric,emerald,walk,Cave Of Origin 1f,,,0,
marshtomp,emerald,walk,Cave Of Origin 1f,,,0,
masquerain,emerald,walk,Cave Of Origin 1f,,,0,
mawile,emerald,walk,Cave Of Origin 1f,,,0,
medicham,emerald,walk,Cave Of Origin 1f,,,0,
meditite,emerald,walk,Cave Of Origin 1f,,,0,
metagross,emerald,walk,Cave Of Origin 1f,,,0,
metang,emerald,walk,Cave Of Origin 1f,,,0,
mightyena,emerald,walk,Cave Of Origin 1f,,,0,
milotic,emerald,walk,Cave Of Origin 1f,,,0,
minun,emerald,walk,Cave Of Origin 1f,,,0,
mudkip,emerald,walk,Cave Of Origin 1f,,,0,
nincada,emerald,walk,Cave Of Origin 1f,,,0,
ninjask,emerald,walk,Cave Of Origin 1f,,,0,
nosepass,emerald,walk,Cave Of Origin 1f,,,0,
numel,emerald,walk,Cave Of Origin 1f,,,0,
nuzleaf,emerald,walk,Cave Of Origin 1f,,,0,
pelipper,emerald,walk,Cave Of Origin 1f,,,0,
plusle,emerald,walk,Cave Of Origin 1f,,,0,
poochyena,emerald,walk,Cave Of Origin 1f,,,0,
ralts,emerald,walk,Cave Of Origin 1f,,,0,
rayquaza,emerald,walk,Cave Of Origin 1f,,,0,
regice,emerald,walk,Cave Of Origin 1f,,,0,
regirock,emerald,walk,Cave Of Origin 1f,,,0,
registeel,emerald,walk,Cave Of Origin 1f,,,0,
relicanth,emerald,walk,Cave Of Origin 1f,,,0,
roselia,emerald,walk,Cave Of Origin 1f,,,0,
sableye,emerald,walk,Cave Of Origin 1f,30,34,30,
salamence,emerald,walk,Cave Of Origin 1f,,,0,
sceptile,emerald,walk,Cave Of Origin 1f,,,0,
sealeo,emerald,walk,Cave Of Origin 1f,,,0,
seedot,emerald,walk,Cave Of Origin 1f,,,0,
seviper,emerald,walk,Cave Of Origin 1f,,,0,
sharpedo,emerald,walk,Cave Of Origin 1f,,,0,
shedinja,emerald,walk,Cave Of Origin 1f,,,0,
shelgon,emerald,walk,Cave Of Origin 1f,,,0,
shiftry,emerald,walk,Cave Of Origin 1f,,,0,
shroomish,emerald,walk,Cave Of Origin 1f,,,0,
shuppet,emerald,walk,Cave Of Origin 1f,,,0,
silcoon,emerald,walk,Cave Of Origin 1f,,,0,
skitty,emerald,walk,Cave Of Origin 1f,,,0,
slaking,emerald,walk,Cave Of Origin 1f,,,0,
slakoth,emerald,walk,Cave Of Origin 1f,,,0,
snorunt,emerald,walk,Cave Of Origin 1f,,,0,
solrock,emerald,walk,Cave Of Origin 1f,,,0,
spheal,emerald,walk,Cave Of Origin 1f,,,0,
spinda,emerald,walk,Cave Of Origin 1f,,,0,
spoink,emerald,walk,Cave Of Origin 1f,,,0,
surskit,emerald,walk,Cave Of Origin 1f,,,0,
swablu,emerald,walk,Cave Of Origin 1f,,,0,
swalot,emerald,walk,Cave Of Origin 1f,,,0,
swampert,emerald,walk,Cave Of Origin 1f,,,0,
swellow,emerald,walk,Cave Of Origin 1f,,,0,
taillow,emerald,walk,Cave Of Origin 1f,,,0,
torchic,emerald,walk,Cave Of Origin 1f,,,0,
torkoal,emerald,walk,Cave Of Origin 1f,,,0,
trapinch,emerald,walk,Cave Of Origin 1f,,,0,
treecko,emerald,walk,Cave Of Origin 1f,,,0,
tropius,emerald,walk,Cave Of Origin 1f,,,0,
vibrava,emerald,walk,Cave Of Origin 1f,,,0,
vigoroth,emerald,walk,Cave Of Origin 1f,,,0,
volbeat,emerald,walk,Cave Of Origin 1f,,,0,
wailmer,emerald,walk,Cave Of Origin 1f,,,0,
wailord,emerald,walk,Cave Of Origin 1f,,,0,
walrein,emerald,walk,Cave Of Origin 1f,,,0,
whiscash,emerald,walk,Cave Of Origin 1f,,,0,
whismur,emerald,walk,Cave Of Origin 1f,,,0,
wingull,emerald,walk,Cave Of Origin 1f,,,0,
wurmple,emerald,walk,Cave Of Origin 1f,,,0,
wynaut,emerald,walk,Cave Of Origin 1f,,,0,
zangoose,emerald,walk,Cave Of Origin 1f,,,0,
zigzagoon,emerald,walk,Cave Of Origin 1f,,,0,
absol,emerald,walk,Cave Of Origin B1f,,,0,
aggron,emerald,walk,Cave Of Origin B1f,,,0,
altaria,emerald,walk,Cave Of Origin B1f,,,0,
anorith,emerald,walk,Cave Of Origin B1f,,,0,
armaldo,emerald,walk,Cave Of Origin B1f,,,0,
aron,emerald,walk,Cave Of Origin B1f,,,0,
azurill,emerald,walk,Cave Of Origin B1f,,,0,
bagon,emerald,walk,Cave Of Origin B1f,,,0,
baltoy,emerald,walk,Cave Of Origin B1f,,,0,
banette,emerald,walk,Cave Of Origin B1f,,,0,
barboach,emerald,walk,Cave Of Origin B1f,,,0,
beautifly,emerald,walk,Cave Of Origin B1f,,,0,
beldum,emerald,walk,Cave Of Origin B1f,,,0,
blaziken,emerald,walk,Cave Of Origin B1f,,,0,
breloom,emerald,walk,Cave Of Origin B1f,,,0,
cacnea,emerald,walk,Cave Of Origin B1f,,,0,
cacturne,emerald,walk,Cave Of Origin B1f,,,0,
camerupt,emerald,walk,Cave Of Origin B1f,,,0,
carvanha,emerald,walk,Cave Of Origin B1f,,,0,
cascoon,emerald,walk,Cave Of Origin B1f,,,0,
castform,emerald,walk,Cave Of Origin B1f,,,0,
chimecho,emerald,walk,Cave Of Origin B1f,,,0,
clamperl,emerald,walk,Cave Of Origin B1f,,,0,
claydol,emerald,walk,Cave Of Origin B1f,,,0,
combusken,emerald,walk,Cave Of Origin B1f,,,0,
corphish,emerald,walk,Cave Of Origin B1f,,,0,
cradily,emerald,walk,Cave Of Origin B1f,,,0,
crawdaunt,emerald,walk,Cave Of Origin B1f,,,0,
delcatty,emerald,walk,Cave Of Origin B1f,,,0,
deoxys-normal,emerald,walk,Cave Of Origin B1f,,,0,
dusclops,emerald,walk,Cave Of Origin B1f,,,0,
duskull,emerald,walk,Cave Of Origin B1f,,,0,
dustox,emerald,walk,Cave Of Origin B1f,,,0,
electrike,emerald,walk,Cave Of Origin B1f,,,0,
exploud,emerald,walk,Cave Of Origin B1f,,,0,
feebas,emerald,walk,Cave Of Origin B1f,,,0,
flygon,emerald,walk,Cave Of Origin B1f,,,0,
gardevoir,emerald,walk,Cave Of Origin B1f,,,0,
glalie,emerald,walk,Cave Of Origin B1f,,,0,
gorebyss,emerald,walk,Cave Of Origin B1f,,,0,
groudon,emerald,walk,Cave Of Origin B1f,,,0,
grovyle,emerald,walk,Cave Of Origin B1f,,,0,
grumpig,emerald,walk,Cave Of Origin B1f,,,0,
gulpin,emerald,walk,Cave Of Origin B1f,,,0,
hariyama,emerald,walk,Cave Of Origin B1f,,,0,
huntail,emerald,walk,Cave Of Origin B1f,,,0,
illumise,emerald,walk,Cave Of Origin B1f,,,0,
jirachi,emerald,walk,Cave Of Origin B1f,,,0,
kecleon,emerald,walk,Cave Of Origin B1f,,,0,
kirlia,emerald,walk,Cave Of Origin B1f,,,0,
kyogre,emerald,walk,Cave Of Origin B1f,,,0,
lairon,emerald,walk,Cave Of Origin B1f,,,0,
latias,emerald,walk,Cave Of Origin B1f,,,0,
latios,emerald,walk,Cave Of Origin B1f,,,0,
lileep,emerald,walk,Cave Of Origin B1f,,,0,
linoone,emerald,walk,Cave Of Origin B1f,,,0,
lombre,emerald,walk,Cave Of Origin B1f,,,0,
lotad,emerald,walk,Cave Of Origin B1f,,,0,
loudred,emerald,walk,Cave Of Origin B1f,,,0,
ludicolo,emerald,walk,Cave Of Origin B1f,,,0,
lunatone,emerald,walk,Cave Of Origin B1f,,,0,
luvdisc,emerald,walk,Cave Of Origin B1f,,,0,
makuhita,emerald,walk,Cave Of Origin B1f,,,0,
manectric,emerald,walk,Cave Of Origin B1f,,,0,
marshtomp,emerald,walk,Cave Of Origin B1f,,,0,
masquerain,emerald,walk,Cave Of Origin B1f,,,0,
mawile,emerald,walk,Cave Of Origin B1f,,,0,
medicham,emerald,walk,Cave Of Origin B1f,,,0,
meditite,emerald,walk,Cave Of Origin B1f,,,0,
metagross,emerald,walk,Cave Of Origin B1f,,,0,
metang,emerald,walk,Cave Of Origin B1f,,,0,
mightyena,emerald,walk,Cave Of Origin B1f,,,0,
milotic,emerald,walk,Cave Of Origin B1f,,,0,
minun,emerald,walk,Cave Of Origin B1f,,,0,
mudkip,emerald,walk,Cave Of Origin B1f,,,0,
nincada,emerald,walk,Cave Of Origin B1f,,,0,
ninjask,emerald,walk,Cave Of Origin B1f,,,0,
nosepass,emerald,walk,Cave Of Origin B1f,,,0,
numel,emerald,walk,Cave Of Origin B1f,,,0,
nuzleaf,emerald,walk,Cave Of Origin B1f,,,0,
pelipper,emerald,walk,Cave Of Origin B1f,,,0,
plusle,emerald,walk,Cave Of Origin B1f,,,0,
poochyena,emerald,walk,Cave Of Origin B1f,,,0,
ralts,emerald,walk,Cave Of Origin B1f,,,0,
rayquaza,emerald,walk,Cave Of Origin B1f,,,0,
regice,emerald,walk,Cave Of Origin B1f,,,0,
regirock,emerald,walk,Cave Of Origin B1f,,,0,
registeel,emerald,walk,Cave Of Origin B1f,,,0,
relicanth,emerald,walk,Cave Of Origin B1f,,,0,
roselia,emerald,walk,Cave Of Origin B1f,,,0,
sableye,emerald,walk,Cave Of Origin B1f,30,34,30,
salamence,emerald,walk,Cave Of Origin B1f,,,0,
sceptile,emerald,walk,Cave Of Origin B1f,,,0,
sealeo,emerald,walk,Cave Of Origin B1f,,,0,
seedot,emerald,walk,Cave Of Origin B1f,,,0,
seviper,emerald,walk,Cave Of Origin B1f,,,0,
sharpedo,emerald,walk,Cave Of Origin B1f,,,0,
shedinja,emerald,walk,Cave Of Origin B1f,,,0,
shelgon,emerald,walk,Cave Of Origin B1f,,,0,
shiftry,emerald,walk,Cave Of Origin B1f,,,0,
shroomish,emerald,walk,Cave Of Origin B1f,,,0,
shuppet,emerald,walk,Cave Of Origin B1f,,,0,
silcoon,emerald,walk,Cave Of Origin B1f,,,0,
skitty,emerald,walk,Cave Of Origin B1f,,,0,
slaking,emerald,walk,Cave Of Origin B1f,,,0,
slakoth,emerald,walk,Cave Of Origin B1f,,,0,
snorunt,emerald,walk,Cave Of Origin B1f,,,0,
solrock,emerald,walk,Cave Of Origin B1f,,,0,
spheal,emerald,walk,Cave Of Origin B1f,,,0,
spinda,emerald,walk,Cave Of Origin B1f,,,0,
spoink,emerald,walk,Cave Of Origin B1f,,,0,
surskit,emerald,walk,Cave Of Origin B1f,,,0,
swablu,emerald,walk,Cave Of Origin B1f,,,0,
swalot,emerald,walk,Cave Of Origin B1f,,,0,
swampert,emerald,walk,Cave Of Origin B1f,,,0,
swellow,emerald,walk,Cave Of Origin B1f,,,0,
taillow,emerald,walk,Cave Of Origin B1f,,,0,
torchic,emerald,walk,Cave Of Origin B1f,,,0,
torkoal,emerald,walk,Cave Of Origin B1f,,,0,
trapinch,emerald,walk,Cave Of Origin B1f,,,0,
treecko,emerald,walk,Cave Of Origin B1f,,,0,
tropius,emerald,walk,Cave Of Origin B1f,,,0,
vibrava,emerald,walk,Cave Of Origin B1f,,,0,
vigoroth,emerald,walk,Cave Of Origin B1f,,,0,
volbeat,emerald,walk,Cave Of Origin B1f,,,0,
wailmer,emerald,walk,Cave Of Origin B1f,,,0,
wailord,emerald,walk,Cave Of Origin B1f,,,0,
walrein,emerald,walk,Cave Of Origin B1f,,,0,
whiscash,emerald,walk,Cave Of Origin B1f,,,0,
whismur,emerald,walk,Cave Of Origin B1f,,,0,
wingull,emerald,walk,Cave Of Origin B1f,,,0,
wurmple,emerald,walk,Cave Of Origin B1f,,,0,
wynaut,emerald,walk,Cave Of Origin B1f,,,0,
zangoose,emerald,walk,Cave Of Origin B1f,,,0,
zigzagoon,emerald,walk,Cave Of Origin B1f,,,0,
absol,emerald,walk,Cave Of Origin B2f,,,0,
aggron,emerald,walk,Cave Of Origin B2f,,,0,
altaria,emerald,walk,Cave Of Origin B2f,,,0,
anorith,emerald,walk,Cave Of Origin B2f,,,0,
armaldo,emerald,walk,Cave Of Origin B2f,,,0,
aron,emerald,walk,Cave Of Origin B2f,,,0,
azurill,emerald,walk,Cave Of Origin B2f,,,0,
bagon,emerald,walk,Cave Of Origin B2f,,,0,
baltoy,emerald,walk,Cave Of Origin B2f,,,0,
banette,emerald,walk,Cave Of Origin B2f,,,0,
barboach,emerald,walk,Cave Of Origin B2f,,,0,
beautifly,emerald,walk,Cave Of Origin B2f,,,0,
beldum,emerald,walk,Cave Of Origin B2f,,,0,
blaziken,emerald,walk,Cave Of Origin B2f,,,0,
breloom,emerald,walk,Cave Of Origin B2f,,,0,
cacnea,emerald,walk,Cave Of Origin B2f,,,0,
cacturne,emerald,walk,Cave Of Origin B2f,,,0,
camerupt,emerald,walk,Cave Of Origin B2f,,,0,
carvanha,emerald,walk,Cave Of Origin B2f,,,0,
cascoon,emerald,walk,Cave Of Origin B2f,,,0,
castform,emerald,walk,Cave Of Origin B2f,,,0,
chimecho,emerald,walk,Cave Of Origin B2f,,,0,
clamperl,emerald,walk,Cave Of Origin B2f,,,0,
claydol,emerald,walk,Cave Of Origin B2f,,,0,
combusken,emerald,walk,Cave Of Origin B2f,,,0,
corphish,emerald,walk,Cave Of Origin B2f,,,0,
cradily,emerald,walk,Cave Of Origin B2f,,,0,
crawdaunt,emerald,walk,Cave Of Origin B2f,,,0,
delcatty,emerald,walk,Cave Of Origin B2f,,,0,
deoxys-normal,emerald,walk,Cave Of Origin B2f,,,0,
dusclops,emerald,walk,Cave Of Origin B2f,,,0,
duskull,emerald,walk,Cave Of Origin B2f,,,0,
dustox,emerald,walk,Cave Of Origin B2f,,,0,
electrike,emerald,walk,Cave Of Origin B2f,,,0,
exploud,emerald,walk,Cave Of Origin B2f,,,0,
feebas,emerald,walk,Cave Of Origin B2f,,,0,
flygon,emerald,walk,Cave Of Origin B2f,,,0,
gardevoir,emerald,walk,Cave Of Origin B2f,,,0,
glalie,emerald,walk,Cave Of Origin B2f,,,0,
gorebyss,emerald,walk,Cave Of Origin B2f,,,0,
groudon,emerald,walk,Cave Of Origin B2f,,,0,
grovyle,emerald,walk,Cave Of Origin B2f,,,0,
grumpig,emerald,walk,Cave Of Origin B2f,,,0,
gulpin,emerald,walk,Cave Of Origin B2f,,,0,
hariyama,emerald,walk,Cave Of Origin B2f,,,0,
huntail,emerald,walk,Cave Of Origin B2f,,,0,
illumise,emerald,walk,Cave Of Origin B2f,,,0,
jirachi,emerald,walk,Cave Of Origin B2f,,,0,
kecleon,emerald,walk,Cave Of Origin B2f,,,0,
kirlia,emerald,walk,Cave Of Origin B2f,,,0,
kyogre,emerald,walk,Cave Of Origin B2f,,,0,
lairon,emerald,walk,Cave Of Origin B2f,,,0,
latias,emerald,walk,Cave Of Origin B2f,,,0,
latios,emerald,walk,Cave Of Origin B2f,,,0,
lileep,emerald,walk,Cave Of Origin B2f,,,0,
linoone,emerald,walk,Cave Of Origin B2f,,,0,
lombre,emerald,walk,Cave Of Origin B2f,,,0,
lotad,emerald,walk,Cave Of Origin B2f,,,0,
loudred,emerald,walk,Cave Of Origin B2f,,,0,
ludicolo,emerald,walk,Cave Of Origin B2f,,,0,
lunatone,emerald,walk,Cave Of Origin B2f,,,0,
luvdisc,emerald,walk,Cave Of Origin B2f,,,0,
makuhita,emerald,walk,Cave Of Origin B2f,,,0,
manectric,emerald,walk,Cave Of Origin B2f,,,0,
marshtomp,emerald,walk,Cave Of Origin B2f,,,0,
masquerain,emerald,walk,Cave Of Origin B2f,,,0,
mawile,emerald,walk,Cave Of Origin B2f,,,0,
medicham,emerald,walk,Cave Of Origin B2f,,,0,
meditite,emerald,walk,Cave Of Origin B2f,,,0,
metagross,emerald,walk,Cave Of Origin B2f,,,0,
metang,emerald,walk,Cave Of Origin B2f,,,0,
mightyena,emerald,walk,Cave Of Origin B2f,,,0,
milotic,emerald,walk,Cave Of Origin B2f,,,0,
minun,emerald,walk,Cave Of Origin B2f,,,0,
mudkip,emerald,walk,Cave Of Origin B2f,,,0,
nincada,emerald,walk,Cave Of Origin B2f,,,0,
ninjask,emerald,walk,Cave Of Origin B2f,,,0,
nosepass,emerald,walk,Cave Of Origin B2f,,,0,
numel,emerald,walk,Cave Of Origin B2f,,,0,
nuzleaf,emerald,walk,Cave Of Origin B2f,,,0,
pelipper,emerald,walk,Cave Of Origin B2f,,,0,
plusle,emerald,walk,Cave Of Origin B2f,,,0,
poochyena,emerald,walk,Cave Of Origin B2f,,,0,
ralts,emerald,walk,Cave Of Origin B2f,,,0,
rayquaza,emerald,walk,Cave Of Origin B2f,,,0,
regice,emerald,walk,Cave Of Origin B2f,,,0,
regirock,emerald,walk,Cave Of Origin B2f,,,0,
registeel,emerald,walk,Cave Of Origin B2f,,,0,
relicanth,emerald,walk,Cave Of Origin B2f,,,0,
roselia,emerald,walk,Cave Of Origin B2f,,,0,
sableye,emerald,walk,Cave Of Origin B2f,30,34,30,
salamence,emerald,walk,Cave Of Origin B2f,,,0,
sceptile,emerald,walk,Cave Of Origin B2f,,,0,
sealeo,emerald,walk,Cave Of Origin B2f,,,0,
seedot,emerald,walk,Cave Of Origin B2f,,,0,
seviper,emerald,walk,Cave Of Origin B2f,,,0,
sharpedo,emerald,walk,Cave Of Origin B2f,,,0,
shedinja,emerald,walk,Cave Of Origin B2f,,,0,
shelgon,emerald,walk,Cave Of Origin B2f,,,0,
shiftry,emerald,walk,Cave Of Origin B2f,,,0,
shroomish,emerald,walk,Cave Of Origin B2f,,,0,
shuppet,emerald,walk,Cave Of Origin B2f,,,0,
silcoon,emerald,walk,Cave Of Origin B2f,,,0,
skitty,emerald,walk,Cave Of Origin B2f,,,0,
slaking,emerald,walk,Cave Of Origin B2f,,,0,
slakoth,emerald,walk,Cave Of Origin B2f,,,0,
snorunt,emerald,walk,Cave Of Origin B2f,,,0,
solrock,emerald,walk,Cave Of Origin B2f,,,0,
spheal,emerald,walk,Cave Of Origin B2f,,,0,
spinda,emerald,walk,Cave Of Origin B2f,,,0,
spoink,emerald,walk,Cave Of Origin B2f,,,0,
surskit,emerald,walk,Cave Of Origin B2f,,,0,
swablu,emerald,walk,Cave Of Origin B2f,,,0,
swalot,emerald,walk,Cave Of Origin B2f,,,0,
swampert,emerald,walk,Cave Of Origin B2f,,,0,
swellow,emerald,walk,Cave Of Origin B2f,,,0,
taillow,emerald,walk,Cave Of Origin B2f,,,0,
torchic,emerald,walk,Cave Of Origin B2f,,,0,
torkoal,emerald,walk,Cave Of Origin B2f,,,0,
trapinch,emerald,walk,Cave Of Origin B2f,,,0,
treecko,emerald,walk,Cave Of Origin B2f,,,0,
tropius,emerald,walk,Cave Of Origin B2f,,,0,
vibrava,emerald,walk,Cave Of Origin B2f,,,0,
vigoroth,emerald,walk,Cave Of Origin B2f,,,0,
volbeat,emerald,walk,Cave Of Origin B2f,,,0,
wailmer,emerald,walk,Cave Of Origin B2f,,,0,
wailord,emerald,walk,Cave Of Origin B2f,,,0,
walrein,emerald,walk,Cave Of Origin B2f,,,0,
whiscash,emerald,walk,Cave Of Origin B2f,,,0,
whismur,emerald,walk,Cave Of Origin B2f,,,0,
wingull,emerald,walk,Cave Of Origin B2f,,,0,
wurmple,emerald,walk,Cave Of Origin B2f,,,0,
wynaut,emerald,walk,Cave Of Origin B2f,,,0,
zangoose,emerald,walk,Cave Of Origin B2f,,,0,
zigzagoon,emerald,walk,Cave Of Origin B2f,,,0,
absol,emerald,walk,Cave Of Origin B3f,,,0,
aggron,emerald,walk,Cave Of Origin B3f,,,0,
altaria,emerald,walk,Cave Of Origin B3f,,,0,
anorith,emerald,walk,Cave Of Origin B3f,,,0,
armaldo,emerald,walk,Cave Of Origin B3f,,,0,
aron,emerald,walk,Cave Of Origin B3f,,,0,
azurill,emerald,walk,Cave Of Origin B3f,,,0,
bagon,emerald,walk,Cave Of Origin B3f,,,0,
baltoy,emerald,walk,Cave Of Origin B3f,,,0,
banette,emerald,walk,Cave Of Origin B3f,,,0,
barboach,emerald,walk,Cave Of Origin B3f,,,0,
beautifly,emerald,walk,Cave Of Origin B3f,,,0,
beldum,emerald,walk,Cave Of Origin B3f,,,0,
blaziken,emerald,walk,Cave Of Origin B3f,,,0,
breloom,emerald,walk,Cave Of Origin B3f,,,0,
cacnea,emerald,walk,Cave Of Origin B3f,,,0,
cacturne,emerald,walk,Cave Of Origin B3f,,,0,
camerupt,emerald,walk,Cave Of Origin B3f,,,0,
carvanha,emerald,walk,Cave Of Origin B3f,,,0,
cascoon,emerald,walk,Cave Of Origin B3f,,,0,
castform,emerald,walk,Cave Of Origin B3f,,,0,
chimecho,emerald,walk,Cave Of Origin B3f,,,0,
clamperl,emerald,walk,Cave Of Origin B3f,,,0,
claydol,emerald,walk,Cave Of Origin B3f,,,0,
combusken,emerald,walk,Cave Of Origin B3f,,,0,
corphish,emerald,walk,Cave Of Origin B3f,,,0,
cradily,emerald,walk,Cave Of Origin B3f,,,0,
crawdaunt,emerald,walk,Cave Of Origin B3f,,,0,
delcatty,emerald,walk,Cave Of Origin B3f,,,0,
deoxys-normal,emerald,walk,Cave Of Origin B3f,,,0,
dusclops,emerald,walk,Cave Of Origin B3f,,,0,
duskull,emerald,walk,Cave Of Origin B3f,,,0,
dustox,emerald,walk,Cave Of Origin B3f,,,0,
electrike,emerald,walk,Cave Of Origin B3f,,,0,
exploud,emerald,walk,Cave Of Origin B3f,,,0,
feebas,emerald,walk,Cave Of Origin B3f,,,0,
flygon,emerald,walk,Cave Of Origin B3f,,,0,
gardevoir,emerald,walk,Cave Of Origin B3f,,,0,
glalie,emerald,walk,Cave Of Origin B3f,,,0,
gorebyss,emerald,walk,Cave Of Origin B3f,,,0,
groudon,emerald,walk,Cave Of Origin B3f,,,0,
grovyle,emerald,walk,Cave Of Origin B3f,,,0,
grumpig,emerald,walk,Cave Of Origin B3f,,,0,
gulpin,emerald,walk,Cave Of Origin B3f,,,0,
hariyama,emerald,walk,Cave Of Origin B3f,,,0,
huntail,emerald,walk,Cave Of Origin B3f,,,0,
illumise,emerald,walk,Cave Of Origin B3f,,,0,
jirachi,emerald,walk,Cave Of Origin B3f,,,0,
kecleon,emerald,walk,Cave Of Origin B3f,,,0,
kirlia,emerald,walk,Cave Of Origin B3f,,,0,
kyogre,emerald,walk,Cave Of Origin B3f,,,0,
lairon,emerald,walk,Cave Of Origin B3f,,,0,
latias,emerald,walk,Cave Of Origin B3f,,,0,
latios,emerald,walk,Cave Of Origin B3f,,,0,
lileep,emerald,walk,Cave Of Origin B3f,,,0,
linoone,emerald,walk,Cave Of Origin B3f,,,0,
lombre,emerald,walk,Cave Of Origin B3f,,,0,
lotad,emerald,walk,Cave Of Origin B3f,,,0,
loudred,emerald,walk,Cave Of Origin B3f,,,0,
ludicolo,emerald,walk,Cave Of Origin B3f,,,0,
lunatone,emerald,walk,Cave Of Origin B3f,,,0,
luvdisc,emerald,walk,Cave Of Origin B3f,,,0,
makuhita,emerald,walk,Cave Of Origin B3f,,,0,
manectric,emerald,walk,Cave Of Origin B3f,,,0,
marshtomp,emerald,walk,Cave Of Origin B3f,,,0,
masquerain,emerald,walk,Cave Of Origin B3f,,,0,
mawile,emerald,walk,Cave Of Origin B3f,,,0,
medicham,emerald,walk,Cave Of Origin B3f,,,0,
meditite,emerald,walk,Cave Of Origin B3f,,,0,
metagross,emerald,walk,Cave Of Origin B3f,,,0,
metang,emerald,walk,Cave Of Origin B3f,,,0,
mightyena,emerald,walk,Cave Of Origin B3f,,,0,
milotic,emerald,walk,Cave Of Origin B3f,,,0,
minun,emerald,walk,Cave Of Origin B3f,,,0,
mudkip,emerald,walk,Cave Of Origin B3f,,,0,
nincada,emerald,walk,Cave Of Origin B3f,,,0,
ninjask,emerald,walk,Cave Of Origin B3f,,,0,
nosepass,emerald,walk,Cave Of Origin B3f,,,0,
numel,emerald,walk,Cave Of Origin B3f,,,0,
nuzleaf,emerald,walk,Cave Of Origin B3f,,,0,
pelipper,emerald,walk,Cave Of Origin B3f,,,0,
plusle,emerald,walk,Cave Of Origin B3f,,,0,
poochyena,emerald,walk,Cave Of Origin B3f,,,0,
